path	baseline_path	kind	classification	cmake_selection	current_sha256	baseline_sha256	canonical_current_sha256	canonical_baseline_sha256	disposition
src/core/softpc/base/ccpu386/or.c	base/ccpu386/or.c	source-or-header	identical-original	ccpu-manifest	51213de76f39972207c8c68d809530fb469e2376271def4f04b1faaf1bfdbac1	51213de76f39972207c8c68d809530fb469e2376271def4f04b1faaf1bfdbac1	37fd19eeeffafc8485dfd4d258d724943828106c8991d4e3a997a3aa50b995dd	37fd19eeeffafc8485dfd4d258d724943828106c8991d4e3a997a3aa50b995dd	retain-pristine
src/core/softpc/base/ccpu386/or.h	base/ccpu386/or.h	source-or-header	identical-original	not-directly-selected	49db3cb8f5a1b8dcdd06a74539a73d995e5c72fee2c02ff419170defe937805f	49db3cb8f5a1b8dcdd06a74539a73d995e5c72fee2c02ff419170defe937805f	cd2d3001c314f352cfda6d1f57409b4f0684c8a45a139ed8fdcdb41d709fa0ee	cd2d3001c314f352cfda6d1f57409b4f0684c8a45a139ed8fdcdb41d709fa0ee	retain-pristine
src/core/softpc/base/ccpu386/out.c	base/ccpu386/out.c	source-or-header	identical-original	ccpu-manifest	520bdebe72dcb263bf2a8312ec543b0414a0456e07959891bddb7d083b52b91b	520bdebe72dcb263bf2a8312ec543b0414a0456e07959891bddb7d083b52b91b	d41e6bcc3c872286761bec01a1212ac5f4ab39c56fa93c5a7d5391c724280083	d41e6bcc3c872286761bec01a1212ac5f4ab39c56fa93c5a7d5391c724280083	retain-pristine
src/core/softpc/base/ccpu386/out.h	base/ccpu386/out.h	source-or-header	identical-original	not-directly-selected	8e53e3fa7aca9e0fbebcea0fb5092213dcab4c7afe3055228cbaf33cc5179f11	8e53e3fa7aca9e0fbebcea0fb5092213dcab4c7afe3055228cbaf33cc5179f11	4db0c9086eb468e93b0c50e36b1614b1931dffa9606bf5f38565387c5ea091e3	4db0c9086eb468e93b0c50e36b1614b1931dffa9606bf5f38565387c5ea091e3	retain-pristine
src/core/softpc/base/ccpu386/pigger_c.h	base/ccpu386/pigger_c.h	source-or-header	identical-original	not-directly-selected	f8abfab1a7001e498a6ddb782c8b0831db138e8daad8f52ccfccdd4e2a7c297e	f8abfab1a7001e498a6ddb782c8b0831db138e8daad8f52ccfccdd4e2a7c297e	5c051daf1fb5ba92911752b6f25de347e0d4da756ce4f0226f1a8cf6b0286233	5c051daf1fb5ba92911752b6f25de347e0d4da756ce4f0226f1a8cf6b0286233	retain-pristine
src/core/softpc/base/ccpu386/pop.c	base/ccpu386/pop.c	source-or-header	identical-original	ccpu-manifest	14767b253818e9da970b71f3bc29ce8b9237662a88970f1fbb4fcc73b97d112f	14767b253818e9da970b71f3bc29ce8b9237662a88970f1fbb4fcc73b97d112f	f942a76d007bc91e96446d99608c00d3175f272eef9131a666fde6bca9fddb78	f942a76d007bc91e96446d99608c00d3175f272eef9131a666fde6bca9fddb78	retain-pristine
src/core/softpc/base/ccpu386/pop.h	base/ccpu386/pop.h	source-or-header	identical-original	not-directly-selected	e192bdb01ad432036e8ceac3e170e893ad81ba1f5c03046740cfd18417cf74fe	e192bdb01ad432036e8ceac3e170e893ad81ba1f5c03046740cfd18417cf74fe	3aa99d6e4096dcbe3cf9f6e65acb50cc3c266700f54260cbc26f0ccd67fc4bf9	3aa99d6e4096dcbe3cf9f6e65acb50cc3c266700f54260cbc26f0ccd67fc4bf9	retain-pristine
src/core/softpc/base/ccpu386/popa.c	base/ccpu386/popa.c	source-or-header	identical-original	ccpu-manifest	17ef6c6c1af74d46fb9cc2d4544b5deecde2ac422b919e37135f90e016fe694a	17ef6c6c1af74d46fb9cc2d4544b5deecde2ac422b919e37135f90e016fe694a	3a18d17c796a712c6e2a8560dfcd064df49aaac3af0e3f6afcd4f724c83ef815	3a18d17c796a712c6e2a8560dfcd064df49aaac3af0e3f6afcd4f724c83ef815	retain-pristine
src/core/softpc/base/ccpu386/popa.h	base/ccpu386/popa.h	source-or-header	identical-original	not-directly-selected	531a94f3877472735658be95a1aab106c8628f21c174cdf7121c26754de76fc7	531a94f3877472735658be95a1aab106c8628f21c174cdf7121c26754de76fc7	2c6b723043e4f3c3ff84388ecf0a25bfbda8b4be092a7b037e174b6948de2697	2c6b723043e4f3c3ff84388ecf0a25bfbda8b4be092a7b037e174b6948de2697	retain-pristine
src/core/softpc/base/ccpu386/popf.c	base/ccpu386/popf.c	source-or-header	identical-original	literal-reference	66c4fcaf0f3329dc6d7021a0ad8ba910fa775e84d63ad35404ee2a3134dd46c3	66c4fcaf0f3329dc6d7021a0ad8ba910fa775e84d63ad35404ee2a3134dd46c3	5dfeae38f4791bd0b4d8755765ef3ff36a4614b5a035e90d87ac7a78546d296c	5dfeae38f4791bd0b4d8755765ef3ff36a4614b5a035e90d87ac7a78546d296c	retain-pristine
src/core/softpc/base/ccpu386/popf.h	base/ccpu386/popf.h	source-or-header	identical-original	not-directly-selected	34b50762c18f15b03594b413138fd87096b8241fe61ef00c27d2f6486f263813	34b50762c18f15b03594b413138fd87096b8241fe61ef00c27d2f6486f263813	fe18eebbdcc2475ad46739448d6eb8c3e706c311b8cd96a9e37a947f1d2343f3	fe18eebbdcc2475ad46739448d6eb8c3e706c311b8cd96a9e37a947f1d2343f3	retain-pristine
